TABLE_NAME,COLUMN_NAME,DATA_LENGTH,DATA_TYPE,COLUMN_ID,NULLABLE
ADMIN_ITEM_AUDIT,S2P_TRN_DT,7,DATE,12,Y
ADMIN_ITEM_AUDIT,TS,7,DATE,8,Y
ADMIN_ITEM_AUDIT,VER_NR,22,NUMBER,3,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ITEM_ID,22,NUMBER,3,N
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,CREAT_DT,7,DATE,4,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,CREAT_USR_ID,50,VARCHAR2,5,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,FLD_DELETE,22,NUMBER,7,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,ITEM_ID,22,NUMBER,1,N
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,LST_DEL_DT,7,DATE,8,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,LST_UPD_DT,7,DATE,10,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,LST_UPD_USR_ID,50,VARCHAR2,6,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,S2P_TRN_DT,7,DATE,9,Y
ADMIN_ITEM_CLSFCTN_SCHM_ITEM,VER_NR,22,NUMBER,2,N
ADMIN_ITEM_LANG_VAR,ADMIN_ITEM_ALT_NM,150,VARCHAR2,4,Y
ADMIN_ITEM_LANG_VAR,CREAT_DT,7,DATE,5,Y
ADMIN_ITEM_LANG_VAR,CREAT_USR_ID,50,VARCHAR2,6,Y
ADMIN_ITEM_LANG_VAR,FLD_DELETE,22,NUMBER,8,Y
ADMIN_ITEM_LANG_VAR,ITEM_ID,22,NUMBER,1,N
ADMIN_ITEM_LANG_VAR,LANG_ID,22,NUMBER,3,N
ADMIN_ITEM_LANG_VAR,LST_DEL_DT,7,DATE,9,Y
ADMIN_ITEM_LANG_VAR,LST_UPD_DT,7,DATE,11,Y
ADMIN_ITEM_LANG_VAR,LST_UPD_USR_ID,50,VARCHAR2,7,Y
ADMIN_ITEM_LANG_VAR,S2P_TRN_DT,7,DATE,10,Y
ADMIN_ITEM_LANG_VAR,VER_NR,22,NUMBER,2,N
ADMIN_ITEM_REF_DOC,CREAT_DT,7,DATE,1,Y
ADMIN_ITEM_REF_DOC,CREAT_USR_ID,50,VARCHAR2,2,Y
ADMIN_ITEM_REF_DOC,FLD_DELETE,22,NUMBER,4,Y
ADMIN_ITEM_REF_DOC,ITEM_ID,22,NUMBER,9,N
ADMIN_ITEM_REF_DOC,LST_DEL_DT,7,DATE,5,Y
ADMIN_ITEM_REF_DOC,LST_UPD_DT,7,DATE,7,Y
ADMIN_ITEM_REF_DOC,LST_UPD_USR_ID,50,VARCHAR2,3,Y
ADMIN_ITEM_REF_DOC,REF_DOC_ID,22,NUMBER,8,N
ADMIN_ITEM_REF_DOC,S2P_TRN_DT,7,DATE,6,Y
ADMIN_ITEM_REF_DOC,VER_NR,22,NUMBER,10,N
AI_INPUT_TAB,CONDITION,500,VARCHAR2,5,Y
AI_INPUT_TAB,IDSEQ_NAME,50,VARCHAR2,2,Y
AI_INPUT_TAB,ITEMID_NAME,50,VARCHAR2,1,Y
AI_INPUT_TAB,ITEM_TYPE,30,VARCHAR2,6,Y
AI_INPUT_TAB,ITEM_TYPE_CODE,22,NUMBER,4,Y
AI_INPUT_TAB,TAB_NAME,50,VARCHAR2,3,Y
ALT_DEF,CNTXT_ITEM_ID,22,NUMBER,14,Y
ALT_DEF,CNTXT_VER_NR,22,NUMBER,15,Y
ALT_DEF,CREAT_DT,7,DATE,7,Y
ALT_DEF,CREAT_USR_ID,50,VARCHAR2,8,Y
ALT_DEF,DEF_DESC,"4,000",VARCHAR2,3,N
ALT_DEF,DEF_ID,22,NUMBER,1,N
ALT_DEF,FLD_DELETE,22,NUMBER,10,Y
ALT_DEF,ITEM_ID,22,NUMBER,4,N
ALT_DEF,LANG_ID,22,NUMBER,6,Y
ALT_DEF,LST_DEL_DT,7,DATE,11,Y
ALT_DEF,LST_UPD_DT,7,DATE,13,Y
ALT_DEF,LST_UPD_USR_ID,50,VARCHAR2,9,Y
ALT_DEF,NCI_DEF_TYP_ID,22,NUMBER,17,Y
ALT_DEF,NCI_IDSEQ,36,CHAR,16,Y
ALT_DEF,PREF_DEF_IND,1,CHAR,2,N
ALT_DEF,S2P_TRN_DT,7,DATE,12,Y
ALT_DEF,VER_NR,22,NUMBER,5,N
ALT_NMS,CNTXT_ITEM_ID,22,NUMBER,5,Y
ALT_NMS,CNTXT_NM_DN,175,VARCHAR2,18,Y
ALT_NMS,CNTXT_VER_NR,22,NUMBER,7,Y
ALT_NMS,CREAT_DT,7,DATE,9,Y
ALT_NMS,CREAT_USR_ID,50,VARCHAR2,10,Y
ALT_NMS,FLD_DELETE,22,NUMBER,12,Y
ALT_NMS,ITEM_ID,22,NUMBER,4,N
ALT_NMS,LANG_ID,22,NUMBER,8,Y
ALT_NMS,LST_DEL_DT,7,DATE,13,Y
ALT_NMS,LST_UPD_DT,7,DATE,15,Y
ALT_NMS,LST_UPD_USR_ID,50,VARCHAR2,11,Y
ALT_NMS,NCI_IDSEQ,36,CHAR,17,Y
ALT_NMS,NM_DESC,"2,000",VARCHAR2,3,N
ALT_NMS,NM_ID,22,NUMBER,1,N
ALT_NMS,NM_TYP_ID,22,NUMBER,16,N
ALT_NMS,PREF_NM_IND,1,CHAR,2,N
ALT_NMS,S2P_TRN_DT,7,DATE,14,Y
ALT_NMS,VER_NR,22,NUMBER,6,N
CASE_FILES,CASE_FILE_CD,50,VARCHAR2,3,Y
CASE_FILES,CASE_FILE_DESC,255,VARCHAR2,2,N
CASE_FILES,CASE_FILE_ID,22,NUMBER,1,N
CASE_FILES,CHNG_PROP_NR,30,VARCHAR2,4,Y
CASE_FILES,CNTRL_NR,30,VARCHAR2,6,Y
CASE_FILES,CREAT_DT,7,DATE,5,Y
CASE_FILES,CREAT_USR_ID,50,VARCHAR2,7,Y
CASE_FILES,EST_DT,7,DATE,13,Y
CASE_FILES,FLD_DELETE,22,NUMBER,9,Y
CASE_FILES,LST_DEL_DT,7,DATE,10,Y
CASE_FILES,LST_UPD_DT,7,DATE,12,Y
CASE_FILES,LST_UPD_USR_ID,50,VARCHAR2,8,Y
CASE_FILES,S2P_TRN_DT,7,DATE,11,Y
CHAR_SET,CHAR_SET_DESC,255,VARCHAR2,3,Y
CHAR_SET,CHAR_SET_ID,22,NUMBER,1,N
CHAR_SET,CHAR_SET_NM,30,VARCHAR2,2,N
CHAR_SET,CREAT_DT,7,DATE,4,Y
CHAR_SET,CREAT_USR_ID,50,VARCHAR2,5,Y
CHAR_SET,FLD_DELETE,22,NUMBER,7,Y
CHAR_SET,LST_DEL_DT,7,DATE,8,Y
CHAR_SET,LST_UPD_DT,7,DATE,10,Y
CHAR_SET,LST_UPD_USR_ID,50,VARCHAR2,6,Y
CHAR_SET,S2P_TRN_DT,7,DATE,9,Y
CLSFCTN_SCHM,CLSFCTN_SCHM_TYP_ID,22,NUMBER,1,Y
CLSFCTN_SCHM,CREAT_DT,7,DATE,4,Y
CLSFCTN_SCHM,CREAT_USR_ID,50,VARCHAR2,5,Y
CLSFCTN_SCHM,FLD_DELETE,22,NUMBER,7,Y
CLSFCTN_SCHM,ITEM_ID,22,NUMBER,3,N
CLSFCTN_SCHM,LST_DEL_DT,7,DATE,8,Y
CLSFCTN_SCHM,LST_UPD_DT,7,DATE,10,Y
CLSFCTN_SCHM,LST_UPD_USR_ID,50,VARCHAR2,6,Y
CLSFCTN_SCHM,NCI_LABEL_TYP_FLG,1,CHAR,11,Y
CLSFCTN_SCHM,S2P_TRN_DT,7,DATE,9,Y
CLSFCTN_SCHM,VER_NR,22,NUMBER,2,N
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ID,22,NUMBER,5,N
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ITEM_CONCAT_NM,"1,000",VARCHAR2,15,Y
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ITEM_DESC,"1,000",VARCHAR2,16,Y
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ITEM_ID,22,NUMBER,3,N
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ITEM_NM,50,VARCHAR2,1,N
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_ITEM_VAL,"1,024",VARCHAR2,2,Y
CLSFCTN_SCHM_ITEM,CLSFCTN_SCHM_VER_NR,22,NUMBER,4,N
CLSFCTN_SCHM_ITEM,CREAT_DT,7,DATE,6,Y
CLSFCTN_SCHM_ITEM,CREAT_USR_ID,50,VARCHAR2,7,Y
CLSFCTN_SCHM_ITEM,FLD_DELETE,22,NUMBER,9,Y
CLSFCTN_SCHM_ITEM,LEGCY_CD,50,VARCHAR2,14,Y
CLSFCTN_SCHM_ITEM,LST_DEL_DT,7,DATE,10,Y
CLSFCTN_SCHM_ITEM,LST_UPD_DT,7,DATE,12,Y
CLSFCTN_SCHM_ITEM,LST_UPD_USR_ID,50,VARCHAR2,8,Y
CLSFCTN_SCHM_ITEM,PRNT_CLSFCTN_SCHM_ITEM_ID,22,NUMBER,13,Y
CLSFCTN_SCHM_ITEM,S2P_TRN_DT,7,DATE,11,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,ALT_DEF,50,VARCHAR2,12,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,ALT_NM,50,VARCHAR2,10,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,CLSFCTN_SCHM_ITEM_ID,22,NUMBER,1,N
CLSFCTN_SCHM_ITEM_PERM_VAL,CREAT_DT,7,DATE,4,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,CREAT_USR_ID,50,VARCHAR2,7,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,FLD_DELETE,22,NUMBER,11,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,LST_DEL_DT,7,DATE,13,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,LST_UPD_DT,7,DATE,15,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,LST_UPD_USR_ID,50,VARCHAR2,9,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,PERM_VAL_NM,50,VARCHAR2,6,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,S2P_TRN_DT,7,DATE,14,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,VAL_DOM_ITEM_ID,22,NUMBER,3,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,VAL_DOM_VER_NR,22,NUMBER,5,Y
CLSFCTN_SCHM_ITEM_PERM_VAL,VAL_ID,22,NUMBER,2,N
CLSFCTN_SCHM_ITEM_PERM_VAL,VAL_MEAN_DESC,50,VARCHAR2,8,Y
CLSFCTN_SCHM_ITEM_REL,CLSFCTN_SCHM_REL_TYP_ID,22,NUMBER,1,Y
CLSFCTN_SCHM_ITEM_REL,CREAT_DT,7,DATE,4,Y
CLSFCTN_SCHM_ITEM_REL,CREAT_USR_ID,50,VARCHAR2,5,Y
CLSFCTN_SCHM_ITEM_REL,FLD_DELETE,22,NUMBER,7,Y
CLSFCTN_SCHM_ITEM_REL,LST_DEL_DT,7,DATE,8,Y
CLSFCTN_SCHM_ITEM_REL,LST_UPD_DT,7,DATE,10,Y
CLSFCTN_SCHM_ITEM_REL,LST_UPD_USR_ID,50,VARCHAR2,6,Y
CLSFCTN_SCHM_ITEM_REL,PRMRY_CLSFCTN_SCHM_ITEM_ID,22,NUMBER,2,N
CLSFCTN_SCHM_ITEM_REL,S2P_TRN_DT,7,DATE,9,Y
CLSFCTN_SCHM_ITEM_REL,SCNDRY_CLSFCTN_SCHM_ITEM_ID,22,NUMBER,3,N
CNCPT,CREAT_DT,7,DATE,3,Y
CNCPT,CREAT_USR_ID,50,VARCHAR2,4,Y
CNCPT,EVS_SRC_ID,22,NUMBER,10,Y
CNCPT,FLD_DELETE,22,NUMBER,6,Y
CNCPT,ITEM_ID,22,NUMBER,1,N
CNCPT,LST_DEL_DT,7,DATE,7,Y
CNCPT,LST_UPD_DT,7,DATE,9,Y
CNCPT,LST_UPD_USR_ID,50,VARCHAR2,5,Y
CNCPT,S2P_TRN_DT,7,DATE,8,Y
CNCPT,VER_NR,22,NUMBER,2,N
CNCPT_ADMIN_ITEM,CNCPT_AI_ID,22,NUMBER,15,N
CNCPT_ADMIN_ITEM,CNCPT_ITEM_ID,22,NUMBER,1,N
CNCPT_ADMIN_ITEM,CNCPT_VER_NR,22,NUMBER,2,N
CNCPT_ADMIN_ITEM,CREAT_DT,7,DATE,5,Y
CNCPT_ADMIN_ITEM,CREAT_USR_ID,50,VARCHAR2,6,Y
CNCPT_ADMIN_ITEM,FLD_DELETE,22,NUMBER,8,Y
CNCPT_ADMIN_ITEM,ITEM_ID,22,NUMBER,3,N
CNCPT_ADMIN_ITEM,LST_DEL_DT,7,DATE,9,Y
CNCPT_ADMIN_ITEM,LST_UPD_DT,7,DATE,11,Y
CNCPT_ADMIN_ITEM,LST_UPD_USR_ID,50,VARCHAR2,7,Y
